domain,topic,difficulty,latex,wolfram,english,translated,errors,input_tokens,output_tokens,total_tokens
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x\,e^{x^2}\,dx$",integrate x*exp(x^2) dx,"Evaluate using integration by parts: $\int x\,e^{x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\,e^{x^2}\,dx$",,810,747,1557
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int_{0}^{\pi} x\cos(x)\,dx$",integrate x*cos(x) from 0 to pi,"Evaluate using integration by parts: $\int_{0}^{\pi} x\cos(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{\pi} x\cos(x)\,dx$",,795,775,1570
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x^3\ln(x)\,dx$",integrate x^3 ln(x) dx,"Evaluate using integration by parts: $\int x^3\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^3\ln(x)\,dx$",,795,710,1505
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x\cos(2x)\,dx$",integrate x*cos(2x) dx,"Evaluate using integration by parts: $\int x\cos(2x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\cos(2x)\,dx$",,802,719,1521
calculus,Integration by Parts,easy,"Compute using integration by parts: $\int x\cos(3x)\,dx$",integrate x*cos(3x) dx,"Compute using integration by parts: $\int x\cos(3x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\cos(3x)\,dx$",,808,723,1531
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x\ln(x)\,dx$",integrate x*ln(x) dx,"Evaluate using integration by parts: $\int x\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\ln(x)\,dx$",,791,766,1557
calculus,Integration by Parts,easy,"Compute using integration by parts: $\int x^3\ln(x)\,dx$",integrate x^3*ln(x) dx,"Compute using integration by parts: $\int x^3\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^3\ln(x)\,dx$",,789,714,1503
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x^2\ln(x)\,dx$",integrate x^2 ln(x) dx,"Evaluate using integration by parts: $\int x^2\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^2\ln(x)\,dx$",,802,761,1563
calculus,Integration by Parts,easy,"Evaluate using substitution and integration by parts: $\int (3x-2)\,\ln(3x-2)\,dx$",integrate (3x-2)*ln(3x-2) dx,"Evaluate using substitution and integration by parts: $\int (3x-2)\,\ln(3x-2)\,dx$","Обчисліть, використовуючи підстановку та інтегрування частинами: $\int (3x-2)\,\ln(3x-2)\,dx$",,816,845,1661
calculus,Integration by Parts,easy,"Compute using integration by parts: $\int x\,e^{3x}\,dx$",integrate x*e^(3x) dx,"Compute using integration by parts: $\int x\,e^{3x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\,e^{3x}\,dx$",,788,745,1533
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \frac{\ln(x)}{x^2}\,dx$",integrate ln(x)/x^2 dx,"Evaluate using integration by parts: $\int \frac{\ln(x)}{x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{\ln(x)}{x^2}\,dx$",,799,684,1483
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \ln(x)\,dx$",integrate ln(x) dx,"Evaluate using integration by parts: $\int \ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(x)\,dx$",,799,957,1756
calculus,Integration by Parts,easy,"Compute using integration by parts: $\int x e^{x}\,dx$",integrate x*e^x dx,"Compute using integration by parts: $\int x e^{x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x e^{x}\,dx$",,838,712,1550
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x\sin(3x)\,dx$",integrate x*sin(3x) dx,"Evaluate using integration by parts: $\int x\sin(3x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\sin(3x)\,dx$",,794,693,1487
calculus,Integration by Parts,easy,"Compute using integration by parts: $\int e^{2x}\cos(3x)\,dx$",integrate e^(2x)*cos(3x) dx,"Compute using integration by parts: $\int e^{2x}\cos(3x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int e^{2x}\cos(3x)\,dx$",,803,777,1580
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int_{0}^{1} x^2 e^{x}\,dx$",integrate x^2*e^x from 0 to 1,"Evaluate using integration by parts: $\int_{0}^{1} x^2 e^{x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{1} x^2 e^{x}\,dx$",,805,729,1534
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \arctan(x)\,dx$",integrate arctan(x) dx,"Evaluate using integration by parts: $\int \arctan(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \arctan(x)\,dx$",,797,694,1491
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \arctan(x)\,dx$",integrate arctan(x) dx,"Evaluate using integration by parts: $\int \arctan(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \arctan(x)\,dx$",,801,750,1551
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \ln(x)\,dx$",integrate ln(x) dx,"Evaluate using integration by parts: $\int \ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(x)\,dx$",,792,720,1512
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int_{0}^{1} x e^{2x}\,dx$",integrate x*exp(2x) from 0 to 1,"Evaluate using integration by parts: $\int_{0}^{1} x e^{2x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{1} x e^{2x}\,dx$",,794,710,1504
calculus,Integration by Parts,medium,"Derive a reduction formula by integration by parts: $I_n=\int x^n e^x\,dx$ and express $I_n$ in terms of $I_{n-1}$ for integer $n\ge1$.",derive reduction formula for In = integral x^n e^x dx express in terms of I(n-1),"Derive a reduction formula by integration by parts: $I_n=\int x^n e^x\,dx$ and express $I_n$ in terms of $I_{n-1}$ for integer $n\ge1$.","Виведіть формулу зниження за допомогою інтегрування частинами: $I_n=\int x^n e^x\,dx$ і виразіть $I_n$ через $I_{n-1}$ для цілого $n\ge1$.",,852,977,1829
calculus,Integration by Parts,medium,"Evaluate using repeated integration by parts: $\int x^3\cos(4x)\,dx$",integrate x^3 cos(4x) dx,"Evaluate using repeated integration by parts: $\int x^3\cos(4x)\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^3\cos(4x)\,dx$",,802,737,1539
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int x^2\sqrt{1+x^2}\,dx$",integrate x^2*sqrt(1+x^2) dx,"Evaluate using integration by parts: $\int x^2\sqrt{1+x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^2\sqrt{1+x^2}\,dx$",,821,856,1677
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \frac{\ln x}{1+x}\,dx$",integrate ln(x)/(1+x) dx,"Evaluate using integration by parts: $\int \frac{\ln x}{1+x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{\ln x}{1+x}\,dx$",,810,825,1635
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int x\,\ln(3x-2)\,dx$",integrate x*ln(3x-2) dx,"Evaluate using integration by parts: $\int x\,\ln(3x-2)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\,\ln(3x-2)\,dx$",,801,785,1586
calculus,Integration by Parts,medium,"Evaluate: $I(a)=\int_{0}^{1} x^{2}e^{ax}\,dx$",integrate x^2*exp(a*x) from x=0 to 1,"Evaluate: $I(a)=\int_{0}^{1} x^{2}e^{ax}\,dx$","Обчислити: $I(a)=\int_{0}^{1} x^{2}e^{ax}\,dx$",,819,912,1731
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \frac{\ln x}{x^2}\,dx$",integrate (ln(x))/x^2 dx,"Evaluate using integration by parts: $\int \frac{\ln x}{x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{\ln x}{x^2}\,dx$",,820,873,1693
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int e^{2x}\sin(3x)\,dx$",integrate e^(2x)*sin(3x) dx,"Evaluate using integration by parts: $\int e^{2x}\sin(3x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int e^{2x}\sin(3x)\,dx$",,806,803,1609
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int_{0}^{1} x^{3}\ln(x)\,dx$",integrate x^3*ln(x) from 0 to 1,"Evaluate using integration by parts: $\int_{0}^{1} x^{3}\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{1} x^{3}\ln(x)\,dx$",,802,832,1634
calculus,Integration by Parts,medium,"Derive the reduction formula (for integer $n\ge1$): $I_n=\int x^n e^x\,dx$ in terms of $I_{n-1}$",reduce integrate x^n e^x dx in terms of integrate x^(n-1) e^x dx,"Derive the reduction formula (for integer $n\ge1$): $I_n=\int x^n e^x\,dx$ in terms of $I_{n-1}$","Виведіть редукційну формулу (для цілого $n\ge1$): $I_n=\int x^n e^x\,dx$ через $I_{n-1}$",,837,857,1694
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int x^3 e^{2x}\,dx$",integrate x^3*e^(2x) dx,"Evaluate using integration by parts: $\int x^3 e^{2x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^3 e^{2x}\,dx$",,789,786,1575
calculus,Integration by Parts,medium,"Evaluate using repeated integration by parts: $\int x^3(\ln x)^4\,dx$",integrate x^3*(ln x)^4 dx,"Evaluate using repeated integration by parts: $\int x^3(\ln x)^4\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^3(\ln x)^4\,dx$",,800,762,1562
calculus,Integration by Parts,medium,"Evaluate using integration by parts and symmetry: $\displaystyle \int_{0}^{\pi/2} x\,\ln(\sin x)\,dx$",integrate x*log(sin(x)) from x=0 to pi/2,"Evaluate using integration by parts and symmetry: $\displaystyle \int_{0}^{\pi/2} x\,\ln(\sin x)\,dx$","Обчисліть, використовуючи інтегрування частинами та симетрію: $\displaystyle \int_{0}^{\pi/2} x\,\ln(\sin x)\,dx$",,823,888,1711
calculus,Integration by Parts,medium,"Derive a reduction formula using integration by parts: $I_n=\int x^n e^x\,dx\ \text{ for integer } n\ge1$, and express $I_n$ in terms of $I_{n-1}$.",derive reduction formula for In = integral x^n e^x dx express in terms of I_{n-1},"Derive a reduction formula using integration by parts: $I_n=\int x^n e^x\,dx\ \text{ for integer } n\ge1$, and express $I_n$ in terms of $I_{n-1}$.","Виведіть формулу зниження, використовуючи інтегрування частинами: $I_n=\int x^n e^x\,dx\ \text{ для цілого } n\ge1$, і виразіть $I_n$ через $I_{n-1}$.",,839,872,1711
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \arctan(x)\,dx$",integrate arctan(x) dx,"Evaluate using integration by parts: $\int \arctan(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \arctan(x)\,dx$",,802,765,1567
calculus,Integration by Parts,medium,"Evaluate using integration by parts and substitution: $\int x\,\ln(x)\,e^{x^2}\,dx$",integrate x*log(x)*exp(x^2) dx,"Evaluate using integration by parts and substitution: $\int x\,\ln(x)\,e^{x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами та підстановку: $\int x\,\ln(x)\,e^{x^2}\,dx$",,817,906,1723
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\displaystyle \int \frac{\ln x}{x^2}\,dx$",integrate (ln x)/x^2 dx,"Evaluate using integration by parts: $\displaystyle \int \frac{\ln x}{x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\displaystyle \int \frac{\ln x}{x^2}\,dx$",,811,803,1614
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\displaystyle \int \frac{\arctan x}{1+x^2}\,dx$",integrate arctan(x)/(1+x^2) dx,"Evaluate using integration by parts: $\displaystyle \int \frac{\arctan x}{1+x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\displaystyle \int \frac{\arctan x}{1+x^2}\,dx$",,833,821,1654
calculus,Integration by Parts,medium,"Compute using integration by parts: $\int x^2 e^{x}\,dx$",integrate x^2*e^x dx,"Compute using integration by parts: $\int x^2 e^{x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^2 e^{x}\,dx$",,825,780,1605
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int x^2\sqrt{x+3}\,dx$",integrate x^2*sqrt(x+3) dx,"Evaluate using integration by parts: $\int x^2\sqrt{x+3}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^2\sqrt{x+3}\,dx$",,825,818,1643
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \ln(1+x^2)\,dx$",integrate ln(1+x^2) dx,"Evaluate using integration by parts: $\int \ln(1+x^2)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(1+x^2)\,dx$",,817,863,1680
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int_{0}^{1} x^{3}\ln(x)\,dx$",integrate x^3 ln(x) from 0 to 1,"Evaluate using integration by parts: $\int_{0}^{1} x^{3}\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{1} x^{3}\ln(x)\,dx$",,806,770,1576
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \frac{\ln x}{x^3}\,dx$",integrate (ln x)/x^3 dx,"Evaluate using integration by parts: $\int \frac{\ln x}{x^3}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{\ln x}{x^3}\,dx$",,802,790,1592
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \ln(5x-2)\,dx$",integrate ln(5x-2) dx,"Evaluate using integration by parts: $\int \ln(5x-2)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(5x-2)\,dx$",,788,765,1553
calculus,Integration by Parts,medium,"Evaluate: $\int (x-3)^4\ln(x-3)\,dx$",integrate (x-3)^4*ln(x-3) dx,"Evaluate: $\int (x-3)^4\ln(x-3)\,dx$","Обчислити: $\int (x-3)^4\ln(x-3)\,dx$",,798,770,1568
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int x\,\sec^2(x)\,dx$",integrate x*sec(x)^2 dx,"Evaluate using integration by parts: $\int x\,\sec^2(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\,\sec^2(x)\,dx$",,814,816,1630
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int \ln(x)\,\ln(1+x)\,dx$",integrate ln(x)*ln(1+x) dx,"Evaluate using integration by parts: $\int \ln(x)\,\ln(1+x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(x)\,\ln(1+x)\,dx$",,805,838,1643
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int_{0}^{1} x^{3}\ln(x)\,dx$",integrate x^3*ln(x) from 0 to 1,"Evaluate using integration by parts: $\int_{0}^{1} x^{3}\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{1} x^{3}\ln(x)\,dx$",,813,853,1666
calculus,Integration by Parts,medium,"Evaluate using integration by parts: $\int x^3 e^{2x}\,dx$",integrate x^3*e^(2x) dx,"Evaluate using integration by parts: $\int x^3 e^{2x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^3 e^{2x}\,dx$",,795,858,1653
calculus,Integration by Parts,medium,"Derive a reduction formula using integration by parts: $I_n=\int \sin^n(x)\,dx$ for integer $n\ge 2$, and express $I_n$ in terms of $I_{n-2}$.",derive reduction formula for In = integral sin(x)^n dx express in terms of I_{n-2},"Derive a reduction formula using integration by parts: $I_n=\int \sin^n(x)\,dx$ for integer $n\ge 2$, and express $I_n$ in terms of $I_{n-2}$.","Виведіть редукційну формулу, використовуючи інтегрування частинами: $I_n=\int \sin^n(x)\,dx$ для цілого $n\ge 2$, і виразіть $I_n$ через $I_{n-2}$.",,833,852,1685
calculus,Integration by Parts,hard,"Evaluate: $\int x^5\cos(4x)\,dx$",integrate x^5*cos(4x) dx,"Evaluate: $\int x^5\cos(4x)\,dx$","Обчислити: $\int x^5\cos(4x)\,dx$",,809,915,1724
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int x^5\ln(3x-2)\,dx$",integrate x^5*ln(3x-2) dx,"Evaluate using integration by parts: $\int x^5\ln(3x-2)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^5\ln(3x-2)\,dx$",,817,927,1744
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^5 e^{-3x}\,dx$",integrate x^5*exp(-3x) dx,"Evaluate using repeated integration by parts: $\int x^5 e^{-3x}\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^5 e^{-3x}\,dx$",,802,878,1680
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^5\cos(3x)\,dx$",integrate x^5*cos(3x) dx,"Evaluate using repeated integration by parts: $\int x^5\cos(3x)\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^5\cos(3x)\,dx$",,812,921,1733
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^4\cos(3x)\,dx$",integrate x^4*cos(3x) dx,"Evaluate using repeated integration by parts: $\int x^4\cos(3x)\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^4\cos(3x)\,dx$",,807,891,1698
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\displaystyle \int_{0}^{\pi/2} x\,\ln(\sin x)\,dx$",integrate x*log(sin(x)) from x=0 to pi/2,"Evaluate using integration by parts: $\displaystyle \int_{0}^{\pi/2} x\,\ln(\sin x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\displaystyle \int_{0}^{\pi/2} x\,\ln(\sin x)\,dx$",,844,971,1815
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int e^{3x}\sin(4x)\,dx$",integrate e^(3x)*sin(4x) dx,"Evaluate using integration by parts: $\int e^{3x}\sin(4x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int e^{3x}\sin(4x)\,dx$",,811,943,1754
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int \frac{\ln(x)}{x(1+x^2)}\,dx$",integrate ln(x)/(x*(1+x^2)) dx,"Evaluate using integration by parts: $\int \frac{\ln(x)}{x(1+x^2)}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{\ln(x)}{x(1+x^2)}\,dx$",,833,1018,1851
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int x^6 e^{-3x}\,dx$",integrate x^6*e^(-3x) dx,"Evaluate using integration by parts: $\int x^6 e^{-3x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^6 e^{-3x}\,dx$",,804,878,1682
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^4(\ln x)^2\,dx$",integrate x^4 (ln x)^2 dx,"Evaluate using repeated integration by parts: $\int x^4(\ln x)^2\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^4(\ln x)^2\,dx$",,802,898,1700
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int \ln(\ln x)\,dx$",integrate ln(ln x) dx,"Evaluate using integration by parts: $\int \ln(\ln x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(\ln x)\,dx$",,809,815,1624
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\displaystyle \int \frac{\ln(x)}{1+x^2}\,dx$",integrate ln(x)/(1+x^2) dx,"Evaluate using integration by parts: $\displaystyle \int \frac{\ln(x)}{1+x^2}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\displaystyle \int \frac{\ln(x)}{1+x^2}\,dx$",,822,860,1682
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int \frac{e^{3x}}{x}\,dx$",integrate e^(3x)/x dx,"Evaluate using integration by parts: $\int \frac{e^{3x}}{x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{e^{3x}}{x}\,dx$",,824,897,1721
calculus,Integration by Parts,hard,"Derive a reduction formula and a closed form for $I_n(a)=\int x^n e^{ax}\,dx$ (for integer $n\ge 1$ and $a\ne 0$): $I_n(a)=\int x^n e^{ax}\,dx$",integrate x^n*exp(a*x) dx,"Derive a reduction formula and a closed form for $I_n(a)=\int x^n e^{ax}\,dx$ (for integer $n\ge 1$ and $a\ne 0$): $I_n(a)=\int x^n e^{ax}\,dx$","Виведіть редукційну формулу та замкнену форму для $I_n(a)=\int x^n e^{ax}\,dx$ (для цілого $n\ge 1$ та $a\ne 0$): $I_n(a)=\int x^n e^{ax}\,dx$",,875,1014,1889
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int x^4\arctan(x)\,dx$",integrate x^4*arctan(x) dx,"Evaluate using integration by parts: $\int x^4\arctan(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x^4\arctan(x)\,dx$",,818,989,1807
calculus,Integration by Parts,hard,"Evaluate the improper definite integral using integration by parts: $\int_0^1 x^{p}\ln(x)\,dx\ \text{for}\ p>-1$",integrate x^p*log(x) from x=0 to 1 assuming p>-1,"Evaluate the improper definite integral using integration by parts: $\int_0^1 x^{p}\ln(x)\,dx\ \text{for}\ p>-1$","Обчисліть невласний визначений інтеграл, використовуючи інтегрування частинами: $\int_0^1 x^{p}\ln(x)\,dx\ \text{for}\ p>-1$",,821,967,1788
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^5 e^{3x}\,dx$",integrate x^5*e^(3x) dx,"Evaluate using repeated integration by parts: $\int x^5 e^{3x}\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^5 e^{3x}\,dx$",,794,883,1677
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^6 e^{-3x}\,dx$",integrate x^6*e^(-3x) dx,"Evaluate using repeated integration by parts: $\int x^6 e^{-3x}\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^6 e^{-3x}\,dx$",,803,944,1747
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int \ln(x)\,\left(x^5+x^{-4}\right)\,dx$",integrate ln(x)*(x^5+x^(-4)) dx,"Evaluate using integration by parts: $\int \ln(x)\,\left(x^5+x^{-4}\right)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(x)\,\left(x^5+x^{-4}\right)\,dx$",,819,931,1750
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\displaystyle \int \ln\!\left(\frac{x+2}{x-1}\right)\,dx$",integrate ln((x+2)/(x-1)) dx,"Evaluate using integration by parts: $\displaystyle \int \ln\!\left(\frac{x+2}{x-1}\right)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\displaystyle \int \ln\!\left(\frac{x+2}{x-1}\right)\,dx$",,836,956,1792
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^6 e^{3x}\,dx$",integrate x^6*e^(3x) dx,"Evaluate using repeated integration by parts: $\int x^6 e^{3x}\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^6 e^{3x}\,dx$",,800,845,1645
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int \frac{(\ln x)^2}{1+x}\,dx$",integrate (log(x)^2)/(1+x) dx,"Evaluate using integration by parts: $\int \frac{(\ln x)^2}{1+x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \frac{(\ln x)^2}{1+x}\,dx$",,832,889,1721
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int (\ln x)^6\,dx$",integrate (ln x)^6 dx,"Evaluate using integration by parts: $\int (\ln x)^6\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int (\ln x)^6\,dx$",,795,895,1690
calculus,Integration by Parts,hard,"Evaluate using repeated integration by parts: $\int x^5 e^{3x}\,dx$",integrate x^5*exp(3x) dx,"Evaluate using repeated integration by parts: $\int x^5 e^{3x}\,dx$","Обчисліть, використовуючи повторне інтегрування частинами: $\int x^5 e^{3x}\,dx$",,793,835,1628
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int e^{3x}\sin(5x)\,dx$",integrate e^(3x)*sin(5x) dx,"Evaluate using integration by parts: $\int e^{3x}\sin(5x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int e^{3x}\sin(5x)\,dx$",,826,1042,1868
calculus,Integration by Parts,hard,"Evaluate using integration by parts: $\int e^{5x}\,\ln(x)\,dx$",integrate exp(5x)*log(x) dx,"Evaluate using integration by parts: $\int e^{5x}\,\ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int e^{5x}\,\ln(x)\,dx$",,811,830,1641
